ID	Accession	Type	Description
algC	RF02929	Cis-reg;	algC RNA
ALIL	RF01497	Cis-reg;	ALIL pseudoknot
Alpha_RBS	RF00140	Cis-reg;	Alpha operon ribosome binding site
alpha_tmRNA	RF01849	Gene;	Alphaproteobacteria transfer-messenger RNA
AMV_RNA1_SL	RF00196	Cis-reg;	Alfalfa mosaic virus RNA 1 5' UTR stem-loop
AniS	RF02274	Gene;	AniS
anti-hemB	RF02837	Gene; sRNA;	Burkholderia RNA 7 (anti-hemB)
Anti-Q_RNA	RF00388	Gene; antisense;	Anti-Q RNA
antisense_SR1	RF02376	Gene; sRNA;	SR1 sRNA
Antizyme_FSE	RF00381	Cis-reg; frameshift_element;	Antizyme RNA frameshifting stimulation element
ApoB_5_CRE	RF00463	Cis-reg;	Apolipoprotein B (apoB) 5' UTR cis-regulatory element
ar14	RF02344	Gene; sRNA;	Alphaproteobacterial ar14
ar15	RF02345	Gene; sRNA;	Alphaproteobacterial ar15
ar35	RF02346	Gene; sRNA;	Alphaproteobacterial sRNA ar35
ar45	RF02347	Gene; sRNA;	Alphaproteobacterial sRNA ar45
ar7	RF02342	Gene; sRNA;	Alphaproteobacterial sRNA ar7
ar9	RF02343	Gene; sRNA;	Alphaproteobacterial sRNA ar9
Archaea_SRP	RF01857	Gene;	Archaeal signal recognition particle RNA
ArcZ	RF00081	Gene; sRNA;	ArcZ RNA
Arrc08	RF02858	Gene; sRNA;	Actinobacillus sRNA 08
Arrc11	RF02859	Gene; sRNA;	Actinobacillus sRNA 11
Arrc14	RF02860	Gene; sRNA;	Actinobacillus sRNA 14
ARRPOF	RF02933	Gene; sRNA;	ARRPOF RNA
Arthropod_7SK	RF01052	Gene;	Arthropod 7SK RNA
AS-pc01	RF02875	Gene; antisense;	Antisense to pHK01_035
AS-pc02	RF02876	Gene; antisense;	Antisense to pHK01_099
AS-traG	RF02874	Gene; antisense;	Antisense to traG
AS-traI	RF02873	Gene; antisense;	Antisense to traI
AS1726	RF01779	Gene;	AS1726 sRNA
AS1890	RF01780	Gene;	AS1890 sRNA
asd	RF01732	Gene; sRNA;	MarS sRNA
AsdA	RF02674	Gene; antisense;	antisense RNA of dnaA mRNA
ASdes	RF01781	Gene; sRNA;	ASdes TB sRNA
ASpks	RF01782	Gene; antisense;	ASpks TB sRNA
asponA	RF02812	Gene; antisense;	anti ponA RNA
aspS	RF02930	Cis-reg;	aspS RNA
asR3	RF02793	Gene; antisense;	Pyrobaculum asRNA3
AsrC	RF02746	Gene; antisense;	antisense RNA of rseC mRNA
astro_FSE	RF01833	Cis-reg; frameshift_element;	ribosomal frameshift site
asX1	RF02235	Gene; sRNA;	Xanthomonadaceae sRNA asX1
asX2	RF02236	Gene; sRNA;	Xanthomonas sRNA asX2
asX3	RF02237	Gene; sRNA;	Xanthomonas sRNA asX3
asX4	RF02238	Gene; sRNA;	Xanthomonas sRNA asX4/Xoo4
asX6	RF02239	Gene; sRNA;	Xanthomonas sRNA asX6
AsxR	RF02703	Gene; sRNA;	Anti stx2 sRNA
atoC	RF01733	Cis-reg;	atoC RNA
atpB	RF02916	Cis-reg;	atpB RNA
ATPC	RF01067	Gene;	ATPC RNA motif
Atu_At1	RF02496	Gene; sRNA;	Rhizobiales sRNA Atu_At1
Atu_C10	RF02497	Gene; sRNA;	Rhizobiales sRNA Atu_C10
Atu_C3	RF02498	Gene; sRNA;	Rhizobiales sRNA Atu_C3
Atu_C4	RF02499	Gene; sRNA;	Rhizobiales sRNA Atu_C4
Atu_C6	RF02500	Gene; sRNA;	EcpR1
Atu_C7	RF02501	Gene; sRNA;	Rhizobiales sRNA Atu_C7
Atu_C8	RF02502	Gene; sRNA;	Rhizobiales sRNA Atu_C8
Atu_C9	RF02503	Gene; sRNA;	Rhizobiales sRNA Atu_C9
Atu_L1	RF02504	Gene; sRNA;	Rhizobiales sRNA Atu_L1
Atu_L6	RF02505	Gene; sRNA;	Rhizobiales sRNA Atu_L6
Atu_Ti1	RF02506	Gene; sRNA;	Rhizobiales sRNA Atu_Ti1
Atu_Ti3	RF02507	Gene; sRNA;	Rhizobiales sRNA Atu_Ti3
Atu_Ti4	RF02508	Gene; sRNA;	Rhizobiales sRNA Atu_Ti4
Avalong_thermometer	RF02698	Cis-reg; thermoregulator;	Avalong 5' UTR thermometer
Avashort_thermometer	RF02699	Cis-reg; thermoregulator;	Avashort 5' UTR thermometer
b55	RF01783	Gene; sRNA;	Mycobacterium B11
bablM	RF01784	Gene; sRNA;	bablM sRNA
babR_5UTR	RF02572	Cis-reg;	Brucella babR 5'UTR
Bacillaceae-1	RF01690	Gene; sRNA;	Bacillaceae-1 RNA
Bacilli-1	RF02931	Gene; sRNA;	Bacilli-1 RNA
Bacillus-plasmid	RF01691	Gene; sRNA;	Bacillus-plasmid RNA
Bacteria_large_SRP	RF01854	Gene;	Bacterial large signal recognition particle RNA
Bacteria_small_SRP	RF00169	Gene;	Bacterial small signal recognition particle RNA
Bacteroid-trp	RF01692	Cis-reg; leader;	Bacteroidete tryptophan peptide leader RNA
Bacteroidales-1	RF01693	Gene; sRNA;	Bacteroidales-1 6S-Bacteroidales RNA suggested
Bacteroidales-2	RF02943	Gene; sRNA;	Bacteroidales-2 RNA
Bacteroidales_small_SRP	RF04183	Gene;	Bacteroidales small SRP
Bacteroides-1	RF01694	Gene; sRNA;	Bacteroides-1 RNA
Baculoviridae_NAE	RF02911	Cis-reg;	Baculoviridae Nucleocapsid Assembly essential Element
BaMV_CRE	RF00290	Cis-reg;	Bamboo mosaic potexvirus (BaMV) cis-regulatory element
bantam	RF00727	Gene; miRNA;	bantam microRNA precursor family
BASRCI153	RF02604	Gene; sRNA;	Brucella sRNA CI153
BASRCI27	RF02600	Gene; sRNA;	Brucella sRNA CI27
BASRCI337	RF02601	Gene; sRNA;	Brucella sRNA CI337
BASRCI408	RF02599	Gene; sRNA;	Brucella sRNA CI408
BASRCI414	RF02602	Gene; sRNA;	Brucella sRNA CI414
BASRCII26	RF02603	Gene; sRNA;	Brucella sRNA CII26
Bcj11	RF02835	Gene; sRNA;	Burkholderia RNA 11
Bcj14	RF02836	Gene; sRNA;	Burkholderia RNA 14
BcKCsr2	RF02883	Gene; sRNA;	Burkholderia sRNA 2
BcKCsr7	RF02884	Gene; sRNA;	Burkholderia sRNA 7
bCoV-3UTR	RF03122	Cis-reg;	Betacoronavirus 3'UTR
bCoV-5UTR	RF03117	Cis-reg;	Betacoronavirus 5'UTR
Betaproteobacteria-1	RF02932	Gene; sRNA;	Betaproteobacteria-1 RNA
Betaproteobacteria_toxic_sRNA	RF02278	Gene; sRNA;	Betaproteobacteria toxic small RNA
beta_tmRNA	RF01850	Gene;	Betaproteobacteria transfer-messenger RNA
bglG-cis-reg	RF03530	Cis-reg;	cis-regulatory element of the bglG/LicT operon
bicoid_3	RF00551	Cis-reg;	Bicoid 3'-UTR regulatory element
BjrC1505	RF02356	Gene; sRNA;	Alphaproteobacterial sRNA BjrC1505
BjrC174	RF02355	Gene; sRNA;	Bradyrhizobiaceae sRNA BjrC174
BjrC68	RF02353	Gene; sRNA;	Bradyrhizobiaceae sRNA BjrC68
BjrC80	RF02354	Gene; sRNA;	Bradyrhizobiaceae sRNA BjrC80
BLi_r0872	RF02662	Gene; antisense;	Bacillus asRNA 0872
blv_FSE	RF01785	Cis-reg; frameshift_element;	ribosomal frameshift site
BLV_package	RF00192	Cis-reg;	Bovine leukaemia virus RNA packaging signal
BM-sr0117	RF02570	Gene; sRNA;	Brucella melitensis small RNA 0117
BMV3_UPD-PK1	RF01108	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
BMV3_UPD-PK3	RF01113	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Bp1_162	RF02420	Gene; sRNA;	Burkholderia sRNA Bp1_Cand612_SIPHT
Bp1_684	RF02421	Gene; sRNA;	Burkholderia sRNA Bp1_Cand684_SIPHT
Bp1_738	RF02422	Gene; sRNA;	Burkholderia sRNA Bp1_Cand738_SIPHT
Bp1_781	RF02423	Gene; sRNA;	Burkholderia sRNA Bp1_Cand871_SIPHT
Bp2_287	RF02424	Gene; sRNA;	Burkholderia sRNA Bp2_Cand287_SIPHT
bpcv-mir-B1	RF03805	Gene; miRNA;	bpcv-mir-B1 microRNA precursor family
BSnc115	RF02619	Gene; sRNA;	Brucella sRNA 115
BSnc119	RF02620	Gene; sRNA;	Brucella sRNA 119
BSnc120	RF02621	Gene; sRNA;	Brucella sRNA 120
BSnc121	RF02622	Gene; sRNA;	Brucella sRNA 121
BSnc140	RF02623	Gene; sRNA;	Brucella sRNA 140
BSnc150	RF02624	Gene; sRNA;	Brucella sRNA 150
BSR0441	RF02655	Gene; sRNA;	Brucella BSR0441 sRNA
BSR0602	RF02609	Gene; sRNA;	Brucella sRNA 0602
BSR0626	RF02615	Gene; sRNA;	Brucella sRNA 0626
BSR0653	RF02611	Gene; sRNA;	Brucella sRNA 0653
BSR0709	RF02610	Gene; sRNA;	Brucella sRNA 0709
BSR0739	RF02613	Gene; sRNA;	Brucella sRNA 0739
BSR1073	RF02614	Gene; sRNA;	Brucella sRNA 1073
BSR1350	RF02612	Gene; sRNA;	Brucella sRNA 1350
BsrC	RF01410	Gene; sRNA;	BsrC
BsrF	RF01411	Gene; sRNA;	BsrF
BsrG	RF01412	Gene; sRNA;	BsrG
BTE	RF00434	Cis-reg;	Luteovirus cap-independent translation element (BTE)
BTH_s1	RF02690	Gene; sRNA;	Burkholderia sRNA 1
BTH_s19	RF02691	Gene; sRNA;	Burkholderia sRNA 19
BTH_s39	RF02692	Gene; sRNA;	Burkholderia sRNA 39
BTnc005	RF04178	Gene; sRNA;	Bacteroides sRNA BTnc005
BTnc049	RF04179	Gene; sRNA;	Bacteroides sRNA BTnc049
BTnc060	RF04184	Gene; sRNA;	Bacteroides sRNA BTnc060
BTnc201	RF04177	Gene; sRNA;	Bacteroides sRNA BTnc201
BTnc231	RF04180	Gene; sRNA;	Bacteroides sRNA BTnc231
BtsR1	RF02888	Gene; sRNA;	Bacillus sRNA 1
Burkholderiales-2	RF02917	Cis-reg;	Burkholderiales-2 RNA
bxd_1	RF01929	Gene; lncRNA;	Bithoraxoid conserved region 1
bxd_2	RF01930	Gene; lncRNA;	Bithoraxoid conserved region 2
bxd_3	RF01931	Gene; lncRNA;	Bithoraxoid conserved region 3
bxd_4	RF01932	Gene; lncRNA;	Bithoraxoid conserved region 4
bxd_5	RF01933	Gene; lncRNA;	Bithoraxoid conserved region 5
bxd_6	RF01934	Gene; lncRNA;	Bithoraxoid conserved region 6
bxd_7	RF01935	Gene; lncRNA;	Bithoraxoid conserved region 7
BYDV_5_UTR	RF01508	Cis-reg;	Barley yellow dwarf virus 5'UTR
B_rapa_snoR775	RF02705	Gene; snRNA; snoRNA; HACA-box;	Brassica rapa small nucleolar RNA 775
c-di-GMP-I	RF01051	Cis-reg;	Cyclic di-GMP-I riboswitch
c-di-GMP-I-GGC	RF03167	Cis-reg;	c-di-GMP-I-GGC riboswitch
c-di-GMP-I-UAU	RF03168	Cis-reg;	c-di-GMP-I-UAU riboswitch
c-di-GMP-II	RF01786	Cis-reg; riboswitch;	Cyclic di-GMP-II riboswitch
c-di-GMP-II-GAG	RF03169	Cis-reg;	c-di-GMP-II-GAG riboswitch
c-di-GMP-II-GCG	RF03170	Cis-reg;	c-di-GMP-II-GCG riboswitch
C0299	RF00119	Gene; sRNA;	C0299 RNA
C0465	RF00116	Gene; sRNA;	C0465 RNA
C0719	RF00117	Gene; sRNA;	C0719 RNA
C1_109596F_thermometer	RF02762	Cis-reg; thermoregulator;	C1_109596F 5' UTR thermometer
C4	RF01695	Gene; antisense;	C4 antisense RNA
c4-2	RF02944	Gene; sRNA;	c4-2 RNA
c4-a1b1	RF03163	Gene; antisense;	a1, b1 targets of C4 antisense RNA
CAESAR	RF00172	Cis-reg;	ctgf/hcs24 CAESAR
caiA	RF02934	Gene; sRNA;	caiA RNA
carA	RF04192	Cis-reg;	carA ncRNA motif
Cardiovirus_CRE	RF00453	Cis-reg;	Cardiovirus cis-acting replication element (CRE)
CbSR1	RF02557	Gene; sRNA;	Coxiella burnetii sRNA 1
CbSR12	RF02561	Gene; sRNA;	Coxiella burnetii sRNA 12
CbSR14	RF02562	Gene; sRNA;	Coxiella burnetii sRNA 14
CbSR2	RF02558	Gene; antisense;	Coxiella burnetii sRNA 2
CbSR3	RF02563	Gene; antisense;	Coxiella burnetii sRNA 3
CbSR4	RF02559	Gene; antisense;	Coxiella burnetii sRNA 4
CbSR9	RF02560	Gene; antisense;	Coxiella burnetii sRNA 9
CC0196	RF01519	Gene; sRNA;	Caulobacter sRNA CC0196
CC0734	RF01520	Gene; sRNA;	caulobacter sRNA CC0734
CC1840	RF01521	Gene; sRNA;	caulobacter sRNA CC1840
CC2171	RF01867	Gene; sRNA;	caulobacter sRNA CC2171
CC3513	RF01528	Gene; sRNA;	caulobacter sRNA CC3513
CC3552	RF01529	Gene; sRNA;	Cauldobacter sRNA CC3552
CC3664	RF01530	Gene; sRNA;	Caulobacter sRNA CC3664
CcsR1	RF02791	Gene; sRNA;	Conserved CCUCCUCCC motif stress-induced RNA 1
CDKN2B-AS	RF01909	Gene; lncRNA;	CDKN2B antisense RNA 1 intronic convserved region
CDKN2B-AS_2	RF02044	Gene; lncRNA;	CDKN2B antisense RNA 1 convserved region 2
CDKN2B-AS_3	RF02045	Gene; lncRNA;	CDKN2B antisense RNA 1 convserved region 3
ceN100	RF01607	Gene; snRNA; snoRNA; HACA-box;	C. elegans snoRNA ceN100
ceN101	RF01664	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN101
ceN102	RF01608	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN80
ceN103	RF01609	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN103
ceN104	RF01610	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN104
ceN105	RF01612	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN105
ceN106	RF01526	Gene; snRNA; snoRNA; CD-box;	C. elegans snoRNA ceN106
ceN108	RF01611	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN108
ceN109	RF01613	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN109
ceN110	RF01614	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN110
ceN111	RF01615	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN111
ceN113	RF01617	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN113
ceN114	RF01618	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN114
ceN115	RF01619	Gene; sRNA;	C. elegans sRNA ceN115
ceN125	RF01620	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN125
ceN126	RF01621	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN126
ceN22	RF01622	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN22
ceN23-1	RF01623	Gene; sRNA;	Caenorhabditis sRNA ceN23-1
ceN27	RF01624	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN27
ceN28	RF01625	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN28
ceN30	RF01626	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN30
ceN33	RF01866	Gene; snRNA; snoRNA; CD-box;	C. elegans snoRNA ceN33
ceN36-1	RF01627	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN36-1
ceN38	RF01628	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN38
ceN39	RF01629	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN39
ceN40	RF01630	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN40
ceN41	RF01631	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN41
ceN42	RF01632	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN42
ceN43	RF01633	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN43
ceN44	RF01634	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN44
ceN45	RF01635	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN45
ceN46	RF01636	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN46
ceN47	RF01637	Gene; snRNA; snoRNA; CD-box;	Nematode snoRNA ceN47
ceN48	RF01638	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN48
ceN49	RF01639	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN49
ceN51	RF01640	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN51
ceN53	RF01641	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN53
ceN54	RF01642	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN54
ceN56	RF01643	Gene; sRNA;	Caenorhabditis sRNA ceN56
ceN58	RF01645	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN58
ceN59	RF01644	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN59
ceN61	RF01647	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN61
ceN63	RF01646	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN63
ceN65	RF01648	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN65
ceN67	RF01649	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN67
ceN68	RF01650	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN48
ceN69	RF01651	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN69
ceN70	RF01652	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN70
ceN72-3_ceN74-2	RF01656	Gene; sRNA;	Nematode sRNA ceN72-3_ceN74-2
ceN80	RF01653	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN80
ceN81	RF01658	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN81
ceN82	RF01654	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN82
ceN84	RF01655	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN84
ceN86	RF01659	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN86
ceN88	RF01660	Gene; snRNA; snoRNA; HACA-box;	Nematode snoRNA ceN88
ceN89	RF01662	Gene; snRNA; snoRNA; CD-box;	Caenorhabditis snoRNA ceN89
ceN92	RF01661	Gene; snRNA; snoRNA; HACA-box;	Caenorhabditis snoRNA ceN92
ceN93	RF01663	Gene; sRNA;	Caenorhabditis sRNA ceN93
Cgb105	RF02734	Gene; sRNA;	Corynebacterium sRNA 105
che1	RF02935	Gene; sRNA;	che1 RNA
Chlorobi-1	RF01696	Gene; sRNA;	Chlorobi-1 RNA
Chlorobi-RRM	RF01697	Cis-reg;	Chlorobi-RRM RNA
Chloroflexi-1	RF01698	Gene; sRNA;	Chloroflexi-1 RNA
Chloroflexus-1	RF02936	Gene; sRNA;	Chloroflexus-1 RNA
cHP	RF00617	Cis-reg;	Flavivirus capsid hairpin cHP
chrB-a	RF03078	Cis-reg;	chrB-a RNA
chrB-b	RF03086	Cis-reg;	chrB-b RNA
ciona-mir-92	RF01117	Gene; miRNA;	Ciona microRNA mir-92
Cis2_sRNA	RF02645	Gene; sRNA;	Ruegeria cis2 sRNA
Cis52_sRNA	RF02647	Gene; sRNA;	Ruegeria cis52 sRNA
Cis8_sRNA	RF02646	Gene; sRNA;	Ruegeria cis8 sRNA
Cis90_sRNA	RF02648	Gene; sRNA;	Ruegeria cis90 sRNA
Clostridiales-1	RF01699	Gene; sRNA;	Clostridiales-1 RNA
Clostridiales-2	RF02937	Gene; sRNA;	Clostridiales-2 RNA
Clostridiales-3	RF02942	Gene; sRNA;	Clostridiales-3 RNA
Clostridium-PBP	RF03091	Gene; sRNA;	Clostridium-PBP RNA
ClpQY_promoter	RF02401	Cis-reg;	ClpQY promoter
CLRN1-AS1	RF02089	Gene; lncRNA;	CLRN1 antisense RNA 1 conserved region
CncR1	RF02650	Gene; sRNA;	Cag non-coding RNA1
CnfY_thermometer	RF02771	Cis-reg; thermoregulator;	CnfY 5' UTR thermometer
Cobalamin	RF00174	Cis-reg; riboswitch;	Cobalamin riboswitch
COG2827	RF02938	Gene; sRNA;	COG2827 RNA
COG2908	RF02939	Cis-reg;	COG2908 RNA
COG3610-DE	RF03066	Gene; sRNA;	COG3610-DE RNA
COG3860	RF02940	Cis-reg;	COG3860 RNA
COG3943	RF02941	Gene; sRNA;	COG3943 RNA
cold-seep-1	RF03089	Gene; sRNA;	cold-seep-1 RNA
Collinsella-1	RF01700	Gene; sRNA;	Collinsella-1 RNA
CopA	RF00042	Gene; antisense;	CopA-like RNA
Corio-PBP	RF02945	Gene; sRNA;	Corio-PBP RNA
Corona_FSE	RF00507	Cis-reg; frameshift_element;	Coronavirus frameshifting stimulation element
Corona_package	RF00182	Cis-reg;	Coronavirus packaging signal
Corona_pk3	RF00165	Cis-reg;	Coronavirus 3' UTR pseudoknot
CoTC_ribozyme	RF00621	Gene; ribozyme;	Beta-globin co-transcriptional cleavage ribozyme
cow-rumen-1	RF02946	Gene; sRNA;	cow-rumen-1 RNA
cow-rumen-2	RF02947	Gene; sRNA;	cow-rumen-2 RNA
cow-rumen-3	RF03083	Gene; sRNA;	cow-rumen-3 RNA
cow-rumen-4	RF02948	Gene; sRNA;	cow-rumen-4 RNA
CPEB3_ribozyme	RF00622	Gene; ribozyme;	Mammalian CPEB3 ribozyme
CpoB_ybgF_thermometer	RF02782	Cis-reg; thermoregulator;	CpoB/ybgF ICR thermometer
CrcZ	RF01675	Gene; sRNA;	Pseudomonas sRNA CrcZ
CrfA	RF01527	Gene; sRNA;	Caulobacter sRNA CrfA
CRISPR-DR10	RF01323	Gene; CRISPR;	CRISPR RNA direct repeat element
CRISPR-DR11	RF01324	Gene; CRISPR;	CRISPR RNA direct repeat element
